gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class,native_o4a_score,native_score,native_score_idxq4_64_queryq4_64,robustness_class_idxq4_64_queryq4_64
1369196572.0,L1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.5136316418647766,0.5136316418647766,0.4764287173748016,ROBUST
1369196796.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2246988862752914,0.2246988862752914,0.4501039981842041,ROBUST
1369197340.0,L1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0562266446650028,0.0562266446650028,0.0706294849514961,BACKGROUND
1369197564.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0825808644294738,0.0825808644294738,0.0956949591636657,BACKGROUND
1369198108.0,H1,1368973312,3a,C13,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0508331917226314,0.0508331917226314,0.1384861320257187,AMBIGUOUS
1369198556.0,H1,1368973312,3a,C10,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0529531724750995,0.0529531724750995,0.174470767378807,AMBIGUOUS
1369199228.0,L1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2715502679347992,0.2715502679347992,0.3823144137859344,ROBUST
1369199452.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4544500708580017,0.4544500708580017,0.4072257876396179,ROBUST
1369207516.0,H1,1368973312,3a,C4,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3273815214633941,0.3273815214633941,0.3110641539096832,ROBUST
1369211740.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4753541946411133,0.4753541946411133,0.4342482686042785,ROBUST
1369212092.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0537968799471855,0.0537968799471855,0.0783138871192932,BACKGROUND
1369212412.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4524206221103668,0.4524206221103668,0.4240713119506836,ROBUST
1369213564.0,H1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4542818665504455,0.4542818665504455,0.4320758283138275,ROBUST
1369216284.0,L1,1368973312,3a,C10,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1993467360734939,0.1993467360734939,0.1938857734203338,AMBIGUOUS
1369216572.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1167606860399246,0.1167606860399246,0.1210271492600441,BACKGROUND
1369216796.0,H1,1368973312,3a,C8,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4928909838199615,0.4928909838199615,0.4286919236183166,ROBUST
1369216860.0,H1,1368973312,3a,C4,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2805151641368866,0.2805151641368866,0.2647897601127624,AMBIGUOUS
1369217436.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0982212498784065,0.0982212498784065,0.1374971717596054,BACKGROUND
1369217532.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3102509677410126,0.3102509677410126,0.0980762168765068,BACKGROUND
1369217596.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.118010327219963,0.118010327219963,0.0941400006413459,BACKGROUND
1369218844.0,L1,1368973312,3a,C4,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0560499429702758,0.0560499429702758,0.4048353135585785,ROBUST
1369218876.0,L1,1368973312,3a,C4,Family_01,,Confirmed_Local,Not_Found,0.0,AMBIGUOUS,0.4322560131549835,0.4322560131549835,0.462275892496109,ROBUST
1369218908.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2475206106901168,0.2475206106901168,0.0728876069188118,BACKGROUND
1369219228.0,H1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2987458407878876,0.2987458407878876,0.438382476568222,ROBUST
1369220604.0,L1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.069898746907711,0.069898746907711,0.0841952264308929,BACKGROUND
1369220668.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0613837651908397,0.0613837651908397,0.1170694902539253,BACKGROUND
1369223168.0,H1,1368973312,3a,C10,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.135458841919899,0.135458841919899,0.0606866739690303,BACKGROUND
1369223420.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,AMBIGUOUS,0.4357702136039734,0.4357702136039734,0.4286045432090759,ROBUST
1369223868.0,H1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4537268280982971,0.4537268280982971,0.456029325723648,ROBUST
1369223932.0,L1,1368973312,3a,C7,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1806410104036331,0.1806410104036331,0.1594501435756683,AMBIGUOUS
1369224796.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2701088488101959,0.2701088488101959,0.1570915132761001,AMBIGUOUS
1369225052.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2664573192596435,0.2664573192596435,0.0742168724536895,BACKGROUND
1369225116.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0511401481926441,0.0511401481926441,0.1179103553295135,BACKGROUND
1369225404.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3010572493076324,0.3010572493076324,0.1480163931846618,BACKGROUND
1369225564.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.072548322379589,0.072548322379589,0.0734077468514442,BACKGROUND
1369225724.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.5199971795082092,0.5199971795082092,0.4452657699584961,ROBUST
1369227228.0,L1,1368973312,3a,C13,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2565318048000335,0.2565318048000335,0.1844842880964279,AMBIGUOUS
1369229084.0,H1,1368973312,3a,C4,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3068278431892395,0.3068278431892395,0.2674648463726043,AMBIGUOUS
1369229116.0,L1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0522254444658756,0.0522254444658756,0.0707668960094451,BACKGROUND
1369229468.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0995364040136337,0.0995364040136337,0.1408355683088302,BACKGROUND
1369230492.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1281644105911255,0.1281644105911255,0.1116509288549423,BACKGROUND
1369230556.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0601746328175067,0.0601746328175067,0.1064011082053184,BACKGROUND
1369230780.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1089860722422599,0.1089860722422599,0.1402280181646347,BACKGROUND
1369241756.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0664539858698844,0.0664539858698844,0.0847460851073265,BACKGROUND
1369242556.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0731552690267562,0.0731552690267562,0.0722448527812957,BACKGROUND
1369243100.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.064768373966217,0.064768373966217,0.0775884613394737,BACKGROUND
1369243132.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,AMBIGUOUS,0.4247489869594574,0.4247489869594574,0.4486826956272125,ROBUST
1369243580.0,L1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0887959897518158,0.0887959897518158,0.07313784211874,BACKGROUND
1369244220.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,AMBIGUOUS,0.4243094325065613,0.4243094325065613,0.4685118794441223,ROBUST
1369244284.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1313456594944,0.1313456594944,0.1596952378749847,AMBIGUOUS
1369244508.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3093564808368683,0.3093564808368683,0.1090902462601661,BACKGROUND
1369244604.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3021262586116791,0.3021262586116791,0.1212654262781143,BACKGROUND
1369245116.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2724743485450744,0.2724743485450744,0.1068989858031272,BACKGROUND
1369245148.0,H1,1368973312,3a,C13,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0525703579187393,0.0525703579187393,0.1081067398190498,BACKGROUND
1369245436.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.058466650545597,0.058466650545597,0.1151316836476326,BACKGROUND
1369245692.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1267860978841781,0.1267860978841781,0.1211281418800354,BACKGROUND
1369245852.0,L1,1368973312,3a,C9,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1834833174943924,0.1834833174943924,0.1537017673254013,AMBIGUOUS
1369246460.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0913549587130546,0.0913549587130546,0.1599007844924926,AMBIGUOUS
1369254108.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4592854082584381,0.4592854082584381,0.402709424495697,ROBUST
1369254172.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3286589384078979,0.3286589384078979,0.1180942729115486,BACKGROUND
1369254236.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1163975670933723,0.1163975670933723,0.1554037779569625,AMBIGUOUS
