detector,gps_start,family,source,dsd_class,dsd_score,taxonomy_representation
H1,1377279356,Family_01,family,BACKGROUND,0.0889501422643661,idxq4-64_queryq4-64
H1,1376495996,Family_01,family,BACKGROUND,0.0896761417388916,idxq4-64_queryq4-64
H1,1388328060,Family_01,family,BACKGROUND,0.0903052985668182,idxq4-64_queryq4-64
H1,1383890108,Family_01,family,BACKGROUND,0.0909956470131874,idxq4-64_queryq4-64
H1,1374167292,Family_01,family,BACKGROUND,0.0915746986865997,idxq4-64_queryq4-64
H1,1389013852,Family_01,family,BACKGROUND,0.0920632034540176,idxq4-64_queryq4-64
L1,1369327228,Family_01,family,BACKGROUND,0.092566505074501,idxq4-64_queryq4-64
L1,1370938204,Family_01,family,BACKGROUND,0.0931800752878189,idxq4-64_queryq4-64
L1,1377844316,Family_01,family,BACKGROUND,0.0937894210219383,idxq4-64_queryq4-64
H1,1387122588,Family_01,family,BACKGROUND,0.0943701788783073,idxq4-64_queryq4-64
H1,1384241532,Family_01,family,BACKGROUND,0.0949319303035736,idxq4-64_queryq4-64
H1,1376348412,Family_01,family,BACKGROUND,0.0956818908452987,idxq4-64_queryq4-64
H1,1387494940,Family_01,family,BACKGROUND,0.096434362232685,idxq4-64_queryq4-64
H1,1381335100,Family_01,family,BACKGROUND,0.0970928966999054,idxq4-64_queryq4-64
H1,1374125852,Family_01,family,BACKGROUND,0.0975576713681221,idxq4-64_queryq4-64
H1,1372354524,Family_01,family,BACKGROUND,0.0981285274028778,idxq4-64_queryq4-64
H1,1383564188,Family_01,family,BACKGROUND,0.0985890701413154,idxq4-64_queryq4-64
H1,1387273692,Family_01,family,BACKGROUND,0.0990295335650444,idxq4-64_queryq4-64
H1,1384782428,Family_01,family,BACKGROUND,0.0996956825256347,idxq4-64_queryq4-64
L1,1370823068,Family_01,family,BACKGROUND,0.100389540195465,idxq4-64_queryq4-64
H1,1388314268,Family_01,family,BACKGROUND,0.1012685894966125,idxq4-64_queryq4-64
H1,1377343004,Family_01,family,BACKGROUND,0.1018185243010521,idxq4-64_queryq4-64
H1,1372522876,Family_01,family,BACKGROUND,0.1026497855782508,idxq4-64_queryq4-64
H1,1374485436,Family_01,family,BACKGROUND,0.1036921590566635,idxq4-64_queryq4-64
