detector,gps_start,family,aux_channel,max_coherence,peak_freq,significant,data_available,note,dsd_class,dsd_score,taxonomy_representation
H1,1377509376,Family_01,H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.2572400284122635,106.5,False,True,,BACKGROUND,0.0493034869432449,idxq4-64_queryq4-64
H1,1377509376,Family_01,H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.1927555752773829,67.5,False,True,,BACKGROUND,0.0493034869432449,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.4784850756301909,180.0,False,True,,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,L1:CAL-PCALX_RX_PD_OUT_DQ,0.199666452881632,180.0,False,True,,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,L1:CAL-PCALY_RX_PD_OUT_DQ,0.2385398484664106,486.5,False,True,,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.4118783652187289,335.0,False,True,,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2676208432787338,20.0,False,True,,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.2675452496106849,20.0,False,True,,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2272777348859676,20.0,False,True,,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
L1,1370926300,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.2856110897686357,480.5,False,True,,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1370926300,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.232624309331547,123.5,False,True,,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1370926300,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.485613790701181,20.5,False,True,,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1370926300,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.1954855453222707,269.0,False,True,,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1370926300,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.3081083874667083,20.5,False,True,,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1370926300,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.3202343328056055,20.5,False,True,,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1370926300,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2337195930105323,256.0,False,True,,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1383918620,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.2953906479897052,300.0,False,True,,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1383918620,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.2789516838920219,36.5,False,True,,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1383918620,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.3692208410671151,21.0,False,True,,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1383918620,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.2311521235230497,60.0,False,True,,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1383918620,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2086384325082108,87.5,False,True,,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1383918620,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.2017688367574795,175.0,False,True,,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1383918620,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2408962113372611,20.0,False,True,,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1382968796,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.5841486498510264,180.0,False,True,,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
L1,1382968796,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.2296602329474681,91.0,False,True,,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
L1,1382968796,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.5968994615761042,20.0,False,True,,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
L1,1382968796,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.3408488595523438,360.0,False,True,,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
L1,1382968796,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.6516042006478626,20.5,True,True,,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
L1,1382968796,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.7026100715608912,20.0,True,True,,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
L1,1382968796,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.4992688659353029,20.5,False,True,,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:CAL-PCALX_RX_PD_OUT_DQ,0.1982891173013994,296.0,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:CAL-PCALY_RX_PD_OUT_DQ,0.2333240135323386,31.0,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:IMC-WFS_A_DC_PIT_OUT_DQ,0.4103657162606769,180.0,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.5927858315782214,60.0,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:LSC-POP_A_LF_OUT_DQ,0.3668953221819303,60.0,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:LSC-REFL_A_RIN_OUT_DQ,0.6091877298708277,60.0,True,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2678888484448044,208.5,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1938303886667211,248.5,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
H1,1388414492,Family_01,H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2310383727845393,120.0,False,True,,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
