detector,gps_start,family,m_channels,n_windows,n_surrogate_pairs,threshold_fw,cmax_observed,top_channel,top_channel_baseline,threshold_zero_lag,verdict,dsd_class,dsd_score,taxonomy_representation,top_channel_class,verdict_tier
H1,1374508380,Family_01,9,124,15252,0.9223647117614746,0.9160896916659912,H1:CAL-PCALY_RX_PD_OUT_DQ,0.9062049984931946,0.9801406264305115,NO_CORRELATION,AMBIGUOUS,0.1324371397495269,idxq4-64_queryq4-64,CAL_LINE,NO_CORRELATION
H1,1374963452,Family_01,9,125,15500,0.9959292411804199,0.9439552020471496,H1:CAL-PCALY_RX_PD_OUT_DQ,0.2754383087158203,0.9954788088798523,NO_CORRELATION,ROBUST,0.5625473260879517,idxq4-64_queryq4-64,CAL_LINE,NO_CORRELATION
H1,1376348412,Family_01,9,129,16512,0.8844565153121948,0.9488525823419256,H1:LSC-REFL_A_RIN_OUT_DQ,0.8123868703842163,0.9720072746276855,COUPLED,BACKGROUND,0.0956818908452987,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1376495996,Family_01,9,137,18632,0.8871691226959229,0.9774125252063935,H1:LSC-REFL_A_RIN_OUT_DQ,0.9121583700180054,0.9742482304573059,COUPLED,BACKGROUND,0.0896761417388916,idxq4-64_queryq4-64,LSC,COUPLED
H1,1376545820,Family_01,9,133,17556,0.8397985100746155,0.7647860358814188,H1:LSC-POP_A_LF_OUT_DQ,0.291618674993515,0.9673629999160767,NO_CORRELATION,ROBUST,0.4781690537929535,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1376661756,Family_01,9,132,17292,0.8507749438285828,0.7262647440351371,H1:LSC-REFL_A_RIN_OUT_DQ,0.7742329239845276,0.9749143719673157,NO_CORRELATION,BACKGROUND,0.0779317319393158,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1377279356,Family_01,9,129,16512,0.9031732082366943,0.6265647214446526,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.6530134677886963,0.9731071591377258,NO_CORRELATION,BACKGROUND,0.0889501422643661,idxq4-64_queryq4-64,IMC,NO_CORRELATION
H1,1377343004,Family_01,9,129,16512,0.7873072624206543,0.7636278758567399,H1:LSC-REFL_A_RIN_OUT_DQ,0.6904398798942566,0.9722322821617126,NO_CORRELATION,BACKGROUND,0.1018185243010521,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1377509376,Family_01,9,119,14042,0.9204681515693665,0.7548423831875786,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.7875837087631226,0.9644357562065125,NO_CORRELATION,BACKGROUND,0.0493034869432449,idxq4-64_queryq4-64,IMC,NO_CORRELATION
H1,1377683132,Family_01,9,134,17822,0.8453288078308105,0.8984032148348323,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.7805757522583008,0.9786256551742554,COUPLED,BACKGROUND,0.0866388976573944,idxq4-64_queryq4-64,IMC,SUSPECT
H1,1377857596,Family_01,9,122,14762,0.8418540954589844,0.6371949473380087,H1:LSC-REFL_A_RIN_OUT_DQ,0.7799450159072876,0.9649749398231506,NO_CORRELATION,ROBUST,0.4278451800346374,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1378490076,Family_01,9,135,18090,0.8872190117835999,0.966608055714326,H1:LSC-REFL_A_RIN_OUT_DQ,0.8984681367874146,0.9843622446060181,COUPLED,ROBUST,0.2066894322633743,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1378854844,Family_01,9,120,14280,0.8877217769622803,0.9447207196032944,H1:LSC-REFL_A_RIN_OUT_DQ,0.8023760318756104,0.9767584800720215,COUPLED,AMBIGUOUS,0.1303783357143402,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1379116028,Family_01,9,111,12210,0.8809263110160828,0.887269277472345,H1:LSC-REFL_A_RIN_OUT_DQ,0.7745203375816345,0.9545422792434692,COUPLED,AMBIGUOUS,0.172880619764328,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1379116124,Family_01,9,111,12210,0.8809263110160828,0.7942500728083723,H1:LSC-REFL_A_RIN_OUT_DQ,0.7745203375816345,0.9545422792434692,NO_CORRELATION,AMBIGUOUS,0.1688074022531509,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1379228092,Family_01,9,133,17556,0.8445569276809692,0.7161082294720987,H1:LSC-REFL_A_RIN_OUT_DQ,0.7915508151054382,0.9793989062309265,NO_CORRELATION,BACKGROUND,0.0845368057489395,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1379498396,Family_01,9,107,11342,0.8623256087303162,0.9807007574975738,H1:LSC-REFL_A_RIN_OUT_DQ,0.8581767678260803,0.9785740971565247,COUPLED,BACKGROUND,0.1138243004679679,idxq4-64_queryq4-64,LSC,COUPLED
H1,1379923932,Family_01,9,133,17556,0.864013671875,0.8151546094100948,H1:LSC-REFL_A_RIN_OUT_DQ,0.7928283214569092,0.9787197113037109,NO_CORRELATION,AMBIGUOUS,0.1440875679254531,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1380240220,Family_01,9,133,17556,0.8840108513832092,0.8049584244369253,H1:LSC-REFL_A_RIN_OUT_DQ,0.8296289443969727,0.9783499240875244,NO_CORRELATION,BACKGROUND,0.1274660378694534,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1380826332,Family_01,9,133,17556,0.8687453269958496,0.9019569557585,H1:LSC-REFL_A_RIN_OUT_DQ,0.8366492986679077,0.9843167662620544,COUPLED,AMBIGUOUS,0.1347539126873016,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1381335100,Family_01,9,143,20306,0.8840950727462769,0.991823256593668,H1:LSC-REFL_A_RIN_OUT_DQ,0.8517403602600098,0.9839785099029541,COUPLED,BACKGROUND,0.0970928966999054,idxq4-64_queryq4-64,LSC,COUPLED
H1,1381677244,Family_01,9,118,13806,0.9379865527153015,0.7932761784859181,H1:LSC-REFL_A_RIN_OUT_DQ,0.9429572820663452,0.9898586273193359,NO_CORRELATION,BACKGROUND,0.1216593906283378,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1381814428,Family_01,9,136,18360,0.8658938407897949,0.6088653222997585,H1:LSC-REFL_A_RIN_OUT_DQ,0.7682616710662842,0.9853626489639282,NO_CORRELATION,AMBIGUOUS,0.1507640331983566,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1382656028,Family_01,9,116,13340,0.9331534504890442,0.9196975578070749,H1:LSC-REFL_A_RIN_OUT_DQ,0.9430740475654602,0.9882544279098511,NO_CORRELATION,BACKGROUND,0.1225944384932518,idxq4-64_queryq4-64,LSC,NO_CORRELATION
