gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index
1368983236.0,1368983268.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.0616440623998642,298
1368983300.0,1368983332.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06795119494199753,298
1368983364.0,1368983396.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06077964976429939,298
1368983428.0,1368983460.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.07111141085624695,298
1368983492.0,1368983524.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.04983891546726227,298
1368983556.0,1368983588.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.05905202031135559,298
1368983620.0,1368983652.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.059875909239053726,298
1368983684.0,1368983716.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.054392535239458084,298
1368983748.0,1368983780.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06500690430402756,298
1368983812.0,1368983844.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.05911603942513466,298
1368983876.0,1368983908.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06792955100536346,298
1368983940.0,1368983972.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06211245059967041,298
1368984004.0,1368984036.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.07077113538980484,298
1368984068.0,1368984100.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.05990400165319443,298
1368984132.0,1368984164.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.05614375323057175,298
1368984196.0,1368984228.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.07087361067533493,299
1368984260.0,1368984292.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.05900472775101662,299
1368984324.0,1368984356.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.05874590575695038,299
