gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,robustness_class,native_o4a_score
1369196572.0,L1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4764287173748016,ROBUST,0.4764287173748016
1369196796.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4501039981842041,ROBUST,0.4501039981842041
1369197340.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0706294849514961,BACKGROUND,0.0706294849514961
1369197564.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0956949591636657,BACKGROUND,0.0956949591636657
1369198108.0,H1,1368973312,3a,C13,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1384861320257187,AMBIGUOUS,0.1384861320257187
1369198556.0,H1,1368973312,3a,C10,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.174470767378807,AMBIGUOUS,0.174470767378807
1369199228.0,L1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.3823144137859344,ROBUST,0.3823144137859344
1369199452.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4072257876396179,ROBUST,0.4072257876396179
1369207516.0,H1,1368973312,3a,C4,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.3110641539096832,ROBUST,0.3110641539096832
1369211740.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4342482686042785,ROBUST,0.4342482686042785
1369212092.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0783138871192932,BACKGROUND,0.0783138871192932
1369212412.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4240713119506836,ROBUST,0.4240713119506836
1369213564.0,H1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4320758283138275,ROBUST,0.4320758283138275
1369216284.0,L1,1368973312,3a,C10,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1938857734203338,AMBIGUOUS,0.1938857734203338
1369216572.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1210271492600441,BACKGROUND,0.1210271492600441
1369216796.0,H1,1368973312,3a,C8,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4286919236183166,ROBUST,0.4286919236183166
1369216860.0,H1,1368973312,3a,C4,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.2647897601127624,ROBUST,0.2647897601127624
1369217436.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1374971717596054,BACKGROUND,0.1374971717596054
1369217532.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0980762168765068,BACKGROUND,0.0980762168765068
1369217596.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0941400006413459,BACKGROUND,0.0941400006413459
1369218844.0,L1,1368973312,3a,C4,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4048353135585785,ROBUST,0.4048353135585785
1369218876.0,L1,1368973312,3a,C4,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.462275892496109,ROBUST,0.462275892496109
1369218908.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0728876069188118,BACKGROUND,0.0728876069188118
1369219228.0,H1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.438382476568222,ROBUST,0.438382476568222
1369220604.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0841952264308929,BACKGROUND,0.0841952264308929
1369220668.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1170694902539253,BACKGROUND,0.1170694902539253
1369223168.0,H1,1368973312,3a,C10,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0606866739690303,BACKGROUND,0.0606866739690303
1369223420.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4286045432090759,ROBUST,0.4286045432090759
1369223868.0,H1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.456029325723648,ROBUST,0.456029325723648
1369223932.0,L1,1368973312,3a,C7,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1594501435756683,AMBIGUOUS,0.1594501435756683
1369224796.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1570915132761001,AMBIGUOUS,0.1570915132761001
