gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1380948700,1380948704.0,H1,16.0,0.21117372810840607,0.2046364843845367,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1380948700,1380948704.0,H1,64.0,0.20682305097579956,0.2046364843845367,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1380948700,1380948704.0,H1,128.0,0.21217645704746246,0.2046364843845367,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1384691836,1384691840.0,H1,4.0,0.20478571951389313,0.2047856003046035,1.1920928963404798e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1384691836,1384691840.0,H1,16.0,0.19608725607395172,0.2047856003046035,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1384691836,1384691840.0,H1,64.0,0.19296401739120483,0.2047856003046035,,AMBIGUOUS,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1384691836,1384691840.0,H1,128.0,0.18537580966949463,0.2047856003046035,,AMBIGUOUS,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1373260028,1373260032.0,H1,4.0,0.20505176484584808,0.2050518691539764,1.0430812832917802e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1373260028,1373260032.0,H1,16.0,0.20788326859474182,0.2050518691539764,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1373260028,1373260032.0,H1,64.0,0.2096337527036667,0.2050518691539764,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1373260028,1373260032.0,H1,128.0,0.21147531270980835,0.2050518691539764,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1370069980,1370069984.0,H1,4.0,0.20515428483486176,0.2051543891429901,1.043081283569336e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1370069980,1370069984.0,H1,16.0,0.1990775763988495,0.2051543891429901,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1370069980,1370069984.0,H1,64.0,0.20775385200977325,0.2051543891429901,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1370069980,1370069984.0,H1,128.0,0.20805931091308594,0.2051543891429901,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
