shift_id,offset_s,covered_any,covered_both,overlap_any,overlap_both
104,15900961.85737577,108,73,3,0
105,14644719.20536522,117,76,1,0
106,9211853.640935203,110,74,3,0
107,5614972.741326751,110,68,2,0
108,2043869.1030284022,112,78,1,0
109,18416088.428053718,112,75,1,0
110,9342122.58342504,109,67,3,0
111,4195914.266915619,107,71,3,0
112,6299644.740601791,116,78,3,0
113,11848959.318244446,118,67,0,0
114,3676230.966816742,104,73,6,0
115,17482180.235634323,112,69,3,0
116,15490111.204081513,107,76,2,0
117,14696965.924269244,108,76,5,0
118,8861172.614536896,107,76,3,0
119,12825537.013448935,111,74,3,0
120,11948027.91349227,108,73,3,0
121,13283224.845734663,115,82,2,0
122,1801261.4959804118,112,75,1,0
123,8530450.400319872,108,66,1,0
124,931483.9971177677,116,80,0,0
125,10118167.960889993,106,78,4,0
126,6785089.555569271,113,75,3,0
127,3021339.417816134,114,68,2,0
128,2186266.10732249,110,61,1,0
129,12020050.913956106,121,77,3,0
130,3550733.767859668,109,70,3,0
131,18873369.315948647,108,74,2,0
132,11886357.20057974,110,74,0,0
133,7130493.2425716575,110,79,4,0
134,12086475.43480802,115,80,2,0
135,549491.8913226849,103,77,1,0
136,19552437.078821976,119,71,3,0
137,9880825.276061641,111,68,3,0
138,15981873.900907913,108,68,0,0
139,1766447.7464249134,105,65,2,0
140,9969262.719329026,107,75,3,0
141,10051481.35855387,106,66,6,0
142,19131404.51704996,121,78,2,0
143,11696824.596432388,101,70,2,0
144,9701833.360904194,114,78,5,0
145,5508034.975804938,109,65,3,0
146,6819770.570433613,115,70,3,0
147,10660006.880431,103,73,3,0
148,8999638.371290766,120,92,2,0
149,525289.4733777982,110,78,1,0
150,16866405.87976934,118,87,1,0
151,18285274.490213245,112,81,2,0
152,2934522.399748188,113,72,1,0
153,11337544.3885336,108,72,1,0
154,2291312.7206821335,112,73,2,0
155,13737982.91341528,111,75,2,0
156,5797583.188689046,117,85,4,0
157,13477691.096269265,105,70,0,0
158,14849915.829092298,109,81,3,0
159,15695785.80686701,105,67,4,0
160,2274360.034093965,114,66,6,0
161,18688402.146316487,121,81,2,0
162,4761493.641496882,115,79,6,0
163,846159.2258033885,113,79,0,0
164,11354122.007414488,104,66,1,0
165,7618941.371764861,106,68,5,0
166,16937438.187635794,118,83,2,0
167,16500047.594093015,118,76,1,0
168,6526729.7798865745,117,79,4,0
169,19437499.75531835,105,68,2,0
170,5994243.089814273,107,76,3,0
171,10545974.157585965,114,73,1,0
172,5284436.67321065,107,76,3,0
173,19095198.40312633,118,82,3,0
174,3429189.7163285916,111,68,3,0
175,998426.8943716602,108,80,4,0
176,8922177.055717694,108,77,0,0
177,20239166.004620317,118,74,2,0
178,18194225.25219829,111,78,0,0
179,15288832.215923943,108,70,3,0
180,18176257.587764733,119,79,1,0
181,18230156.980328325,111,73,2,0
182,10623168.039383853,116,81,2,0
183,6502160.812959012,119,79,1,0
184,15764119.6663371,108,71,3,0
185,13523152.267905625,109,69,2,0
186,7674491.694875754,111,75,2,0
187,2004791.3083260274,113,69,2,0
188,15251904.711431481,110,69,0,0
189,5416343.173155167,112,78,1,0
190,19110826.735779773,113,77,2,0
191,4979934.048985444,105,75,2,0
192,2579318.9882394937,113,79,2,0
193,16964303.700443745,114,73,3,0
194,3199236.588283575,113,79,1,0
195,3726909.094744102,109,70,1,0
196,12258425.977088682,111,76,1,0
197,17846656.100510895,107,78,4,0
198,4075516.6174652674,107,75,2,0
199,6388329.019785965,116,82,1,0
200,15873626.493066538,112,74,1,0
201,19821862.3298757,114,68,3,0
202,10255251.712922687,111,67,3,0
203,3008612.92280978,111,70,3,0
204,369412.5562630737,111,77,1,0
205,4750162.794804753,117,79,6,0
206,2763392.8699215543,117,76,0,0
207,13848021.280260464,114,80,2,0
208,2560525.7709943587,116,83,2,0
209,10368745.719379166,115,83,0,0
210,14185203.838061482,114,77,0,0
211,11887483.653414397,109,74,2,0
212,4143364.023651786,102,76,1,0
213,16416239.227898918,116,80,2,0
214,14614601.825385854,115,74,1,0
215,15093391.557915255,106,72,4,0
216,2747868.3955252944,119,78,1,0
217,2599542.743009738,115,76,5,0
218,18922969.260819755,116,70,1,1
219,8160258.928919365,108,76,5,0
220,6197945.653210612,114,74,1,0
221,10008369.359380798,114,72,2,0
222,13547581.287117727,112,82,3,0
223,19492814.854807045,118,72,1,0
224,5903435.39703002,105,67,1,0
225,18867039.659096923,103,74,1,0
226,591236.6072755388,106,84,5,0
227,11361139.764356226,109,69,1,0
228,12960912.977974804,119,80,1,0
229,2236922.1164087974,110,68,2,0
230,2936360.4013351123,116,73,1,0
231,8597605.95094777,105,72,1,0
232,19708251.17903888,119,90,5,0
233,12190593.754062349,119,77,1,0
234,19033862.37496845,111,82,1,0
235,16421039.729901964,117,81,2,0
236,9577798.611744238,117,67,2,0
237,16023062.222033722,109,73,2,0
238,448622.2742910761,110,77,1,0
239,2302852.628719839,110,72,3,0
240,16930104.539592657,115,82,4,0
241,16267842.702872055,115,77,1,0
242,4810775.131557549,115,71,4,0
243,10865056.538049338,108,69,2,0
244,12393126.880447542,109,78,4,0
245,17708095.577701725,112,80,1,0
246,12334058.908371905,116,77,0,0
247,8464738.400182191,113,79,2,0
248,7685179.879895703,110,73,0,0
249,8735043.057238689,107,74,0,0
250,13325554.495067883,118,71,6,0
251,17703052.75337351,110,75,6,0
252,9303956.322452664,111,74,0,0
253,5119426.708591,113,70,1,0
254,4892444.602809679,106,73,3,0
255,15236159.597471813,102,63,1,0
256,16668951.820107402,118,82,3,0
257,2224345.134445628,115,61,2,0
258,1438050.643502976,112,78,3,0
259,12157921.07010052,117,84,3,0
260,3054827.7737676394,118,77,5,0
261,16833350.5141112,109,78,3,0
262,6388552.424180534,116,82,2,0
263,3008093.6660047765,110,70,4,0
264,18789099.967086144,109,72,0,0
265,3447952.0126189347,116,76,2,0
266,5868381.54408586,115,78,3,0
267,3205919.38420225,113,77,1,0
268,2431726.0168905626,125,80,1,0
269,515865.4565538896,108,81,6,0
270,1211347.8111441287,120,77,3,0
271,3632949.135176922,112,72,3,0
272,1170458.935019627,107,78,3,0
273,12091112.160055159,117,73,2,0
274,13910078.324433656,112,79,0,0
275,8080089.865162097,103,76,1,0
276,6544036.000463438,111,74,2,0
277,10332117.01095264,107,69,4,0
278,17855650.364923537,109,84,0,0
279,17370840.62485463,110,76,2,0
280,969274.1693309736,115,89,4,0
281,3772197.1027223724,111,78,2,0
282,4894120.144439632,106,71,4,0
283,5150863.134970224,114,64,0,0
284,11686764.19853153,107,71,4,0
285,8539690.836210147,113,76,3,0
286,1086632.9658416077,106,75,2,0
287,7673606.478181596,109,77,3,0
288,10722565.38137829,109,68,3,0
289,2151112.3354075025,117,85,1,0
290,17011942.926916555,113,81,0,0
291,1141620.7994267512,109,78,0,0
292,18867718.739271197,105,75,2,0
293,2099150.03394748,113,73,0,0
294,17217382.687066525,111,74,0,0
295,18417118.985624477,113,76,0,0
296,19979129.55308029,118,85,5,0
297,16373620.766244028,110,68,2,0
298,15915718.106967838,104,65,3,0
299,13133693.375607183,109,74,1,0
300,15905946.370230813,106,67,2,0
301,2818832.4275708254,110,78,4,0
302,10972655.246810239,112,81,5,0
303,10529032.35867886,112,72,2,0
304,17501632.07398325,109,82,2,0
305,9484744.396726882,109,65,2,0
306,7906643.4510075385,113,75,3,0
307,13074395.086974736,109,69,1,0
308,5497630.466480182,113,76,5,0
309,2924760.9822885743,111,69,6,0
310,9790940.52996462,113,75,1,0
311,8552422.541677486,110,59,0,0
312,4809337.324284156,117,72,2,0
313,7549682.835093973,105,66,0,0
314,7526951.314091502,110,77,1,0
315,6737048.923864208,114,77,1,0
316,7792404.745462582,108,70,3,0
317,14012201.562181156,116,82,3,0
318,6115248.695003834,113,76,3,0
319,19355427.232564446,112,64,5,0
320,18695229.041573502,118,69,5,0
321,9852536.613746675,120,74,5,0
322,6754628.006753218,115,75,3,0
323,10959795.537951771,115,77,3,0
324,17318626.981819257,112,73,3,0
325,13338882.677158328,112,67,3,0
326,16421667.485218069,117,81,3,0
327,10904710.893432625,114,75,4,0
328,12939438.048115134,121,82,1,0
329,5938148.95057176,108,74,3,0
330,15010316.382932462,110,78,2,0
331,4196751.515359838,105,70,4,0
332,14196082.480794534,114,77,2,0
333,17565538.551934928,114,74,2,0
334,2769091.5787848337,118,78,1,0
335,12562978.01902909,102,62,3,0
336,2017566.41675422,112,75,1,0
337,14823942.69268483,103,75,2,0
338,1802254.4905805194,111,74,2,0
339,19093091.543475233,118,79,2,0
340,2876825.2800356713,109,70,4,0
341,19558956.48182324,117,74,3,0
342,16350435.49426571,112,72,1,0
343,12142656.673900932,114,78,2,0
344,15979617.267174987,112,74,1,0
345,16233274.104132915,110,77,1,0
346,19297939.180869218,114,78,2,0
347,5232007.796424678,110,68,1,0
348,12069425.2525784,117,79,2,0
349,2016621.0844588343,112,76,6,0
350,12599246.569809847,112,90,0,0
351,3564915.286994718,109,72,3,0
352,11559191.037537761,112,78,0,0
353,11711089.906793807,112,74,2,0
354,9549440.092681572,115,64,2,0
355,10699797.044410292,109,80,2,0
356,15599850.634897785,109,67,2,0
357,16317142.005040444,106,71,2,0
358,10080850.640619585,106,67,1,0
359,12262703.773064602,112,73,2,0
360,18997572.97990031,121,89,2,0
361,2517901.8218454015,116,75,1,0
362,2464492.374873084,119,86,1,0
