selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
26,1369199364.0,1369199396.0,E:\o4a\1368973312\H1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,H1,O4a,0.0706345587968826,317,run_spanning_complete_raw_blocks_within_block_even_spacing
27,1369199492.0,1369199524.0,E:\o4a\1368973312\H1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,H1,O4a,0.0877587348222732,317,run_spanning_complete_raw_blocks_within_block_even_spacing
28,1369199620.0,1369199652.0,E:\o4a\1368973312\H1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,H1,O4a,0.1128568276762962,317,run_spanning_complete_raw_blocks_within_block_even_spacing
29,1369199748.0,1369199780.0,E:\o4a\1368973312\H1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,H1,O4a,0.0600476339459419,317,run_spanning_complete_raw_blocks_within_block_even_spacing
30,1369219396.0,1369219428.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0599175058305263,329,run_spanning_complete_raw_blocks_within_block_even_spacing
31,1369219716.0,1369219748.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.052232377231121,329,run_spanning_complete_raw_blocks_within_block_even_spacing
32,1369220100.0,1369220132.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0580924749374389,329,run_spanning_complete_raw_blocks_within_block_even_spacing
33,1369220420.0,1369220452.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0629471614956855,329,run_spanning_complete_raw_blocks_within_block_even_spacing
34,1369220804.0,1369220836.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0605385601520538,330,run_spanning_complete_raw_blocks_within_block_even_spacing
35,1369221124.0,1369221156.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0605115965008735,330,run_spanning_complete_raw_blocks_within_block_even_spacing
36,1369221508.0,1369221540.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0696225836873054,330,run_spanning_complete_raw_blocks_within_block_even_spacing
