candidate_key,gps_start,detector,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,autoencoder_percentile_mean,autoencoder_percentile_seed_42,autoencoder_mse_seed_42,autoencoder_percentile_seed_314159,autoencoder_mse_seed_314159,autoencoder_percentile_seed_271828,autoencoder_mse_seed_271828
H1:1383154396,1383154396.0,H1,ROBUST,0.2041300684213638,0.8778625954198475,0.8473282442748091,1.011595606803894,0.8931297709923665,1.0174760818481445,0.8931297709923665,1.0402296781539917
H1:1387060956,1387060956.0,H1,ROBUST,0.2041793018579483,0.9847328244274808,0.9847328244274809,1.2524974346160889,0.9923664122137404,1.2730075120925903,0.9770992366412213,1.2312548160552979
H1:1386387836,1386387836.0,H1,ROBUST,0.2045145183801651,0.08396946564885495,0.12213740458015267,0.7883709669113159,0.06870229007633588,0.760466992855072,0.061068702290076333,0.7609944939613342
H1:1388201532,1388201532.0,H1,ROBUST,0.2045888900756836,0.9847328244274808,0.9847328244274809,1.2026772499084473,0.9923664122137404,1.1928701400756836,0.9770992366412213,1.2464780807495117
H1:1380948700,1380948700.0,H1,ROBUST,0.2046364843845367,0.3358778625954198,0.3435114503816794,0.8556126356124878,0.3511450381679389,0.8445091247558594,0.31297709923664124,0.8461875915527344
H1:1384691836,1384691836.0,H1,ROBUST,0.2047856003046035,0.989821882951654,0.9923664122137404,1.4083547592163086,0.9923664122137404,1.3825688362121582,0.9847328244274809,1.3017966747283936
H1:1373260028,1373260028.0,H1,ROBUST,0.2050518691539764,0.07379134860050891,0.06870229007633588,0.7631502747535706,0.07633587786259542,0.771453320980072,0.07633587786259542,0.7682209014892578
H1:1370069980,1370069980.0,H1,ROBUST,0.2051543891429901,0.9872773536895675,0.9847328244274809,1.3028852939605713,0.9923664122137404,1.3412318229675293,0.9847328244274809,1.3199002742767334
H1:1389072700,1389072700.0,H1,ROBUST,0.2052503824234008,0.5139949109414759,0.5877862595419847,0.924602746963501,0.5114503816793893,0.89753258228302,0.44274809160305345,0.88632732629776
H1:1389294332,1389294332.0,H1,ROBUST,0.2056476026773452,0.9847328244274808,0.9847328244274809,1.3040647506713867,0.9923664122137404,1.2355055809020996,0.9770992366412213,1.2652885913848877
