gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index
1368980484.0,1368980516.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.06158754602074623,297
1368980548.0,1368980580.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.06060531735420227,297
1368980612.0,1368980644.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.05670304596424103,297
1368980676.0,1368980708.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.05704927444458008,297
1368980740.0,1368980772.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.05043840408325195,297
1368980804.0,1368980836.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.06973593682050705,297
1368980868.0,1368980900.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.057958029210567474,297
1368980932.0,1368980964.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0629444420337677,297
1368980996.0,1368981028.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.05579179897904396,297
1368981060.0,1368981092.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.05967656895518303,297
1368981124.0,1368981156.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.06871970742940903,297
1368981188.0,1368981220.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.05814487487077713,297
1368981252.0,1368981284.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.06273369491100311,297
1368981316.0,1368981348.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.06045474112033844,297
1368981380.0,1368981412.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0577692873775959,297
1368984196.0,1368984228.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.05954365059733391,300
1368984260.0,1368984292.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.05849621072411537,300
1368984324.0,1368984356.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.05878928303718567,300
1368984388.0,1368984420.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.061015382409095764,300
1368984452.0,1368984484.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.08782835304737091,300
1368984516.0,1368984548.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.06402165442705154,300
