selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
26,1369012292.0,1369012324.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0578057430684566,316,run_spanning_complete_raw_blocks_within_block_even_spacing
27,1369012612.0,1369012644.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0665326938033104,317,run_spanning_complete_raw_blocks_within_block_even_spacing
28,1369012996.0,1369013028.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0657675117254257,317,run_spanning_complete_raw_blocks_within_block_even_spacing
29,1369013380.0,1369013412.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0554054640233516,317,run_spanning_complete_raw_blocks_within_block_even_spacing
30,1369043844.0,1369043876.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0578002594411373,327,run_spanning_complete_raw_blocks_within_block_even_spacing
31,1369044036.0,1369044068.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0635820031166076,327,run_spanning_complete_raw_blocks_within_block_even_spacing
32,1369044292.0,1369044324.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0533226765692234,327,run_spanning_complete_raw_blocks_within_block_even_spacing
33,1369044548.0,1369044580.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0676553919911384,327,run_spanning_complete_raw_blocks_within_block_even_spacing
34,1369044740.0,1369044772.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.057669710367918,327,run_spanning_complete_raw_blocks_within_block_even_spacing
35,1369044996.0,1369045028.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0556036010384559,328,run_spanning_complete_raw_blocks_within_block_even_spacing
