system,distance_mpc,trial_index,gps,ra,dec,psi,inclination,snr_H1,snr_L1,snr_network,score_H1_o3b,score_L1_o3b,score_H1_native,score_L1_native,clean_H1_o3b,clean_L1_o3b,clean_H1_native,clean_L1_native,cc_localized_H1,cc_localized_L1,cc_oracle_center,localization_H1_t_offset_s,localization_H1_f_lo,localization_H1_f_hi,localization_L1_t_offset_s,localization_L1_f_lo,localization_L1_f_hi,flag_H1,flag_L1,dsd_survive_H1,dsd_survive_L1,dsd_class_H1,dsd_class_L1,coincidence_localized_H1,coincidence_localized_L1,coincidence_recovered_H1,coincidence_recovered_L1,coincidence_recovered,coincidence_oracle_recovered,threshold_flag_o3b,threshold_dsd_H1,threshold_dsd_H1_lower,threshold_dsd_L1,threshold_dsd_L1_lower,threshold_tau_cc,taxonomy_representation,q_min,q_max,seed
BBH_30_30,100.0,0,1382381468,2.757554564287996,0.7997700149798709,2.190846276941291,0.9909300264671562,165.6332630363387,116.60110109913212,202.55911384481072,0.423205554485321,0.4812493622303009,0.3258306384086609,0.3041952848434448,0.3002146482467651,0.3608795404434204,0.0649409145116806,0.0890925750136375,0.3672336480493278,0.3672336480493278,0.8285022974702181,15.135135135135137,20.0,263.7559526053348,15.135135135135137,20.0,263.7559526053348,True,True,True,True,ROBUST,ROBUST,False,False,False,False,False,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,1,1377843935,6.13001602516006,0.5495216968352834,2.4694938467072425,2.517759531322952,211.58151472338545,259.7212249767097,334.99530157308897,0.4627492427825928,0.4994149506092071,0.442727655172348,0.4598722159862518,0.31956547498703,0.288552314043045,0.0726450607180595,0.065092884004116,0.1253458500357769,0.1343696245202642,0.9286528268844528,12.108108108108109,20.0,168.08842612618787,11.675675675675675,20.0,162.50359618853986,True,True,True,True,ROBUST,ROBUST,False,False,False,False,False,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,2,1373101816,0.4009756458982711,0.7145298590302609,1.98443223581609,1.4614087343841362,94.38374310659056,111.00638940416026,145.70761631211647,0.4294094145298004,0.4817756116390228,0.2316602766513824,0.3163207769393921,0.3475663363933563,0.3226099610328674,0.0582256093621254,0.06110380589962,0.7553736024707365,0.4045757577693252,0.7783710140469542,16.0,20.0,1226.45,15.135135135135137,20.0,162.50359618853986,True,True,True,True,ROBUST,ROBUST,True,False,True,False,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,3,1370904443,2.2275523539672077,1.2267455383299315,2.8058227535116944,1.0284167939164883,146.1759475994616,126.27181921645489,193.16309167341885,0.4003468453884125,0.4401163160800934,0.2050403207540512,0.3791218400001526,0.3158180713653564,0.3775441348552704,0.072219431400299,0.093639388680458,0.0965115122873306,0.0942050608234153,0.8194325444041958,15.135135135135137,20.0,1226.45,14.27027027027027,20.0,235.6601528695265,True,True,True,True,ROBUST,ROBUST,False,False,False,False,False,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,4,1379758098,1.2229510693839023,-0.0666072323795472,0.1376135887967258,0.9803076785866216,109.55869521426804,159.77017333720798,193.72562036358116,0.4382789433002472,0.4698522388935089,0.2935104966163635,0.4212100803852081,0.3139660656452179,0.3435537815093994,0.0607149899005889,0.055474154651165,0.8774580963331804,0.6433135420184496,0.8318334372071504,16.0,20.0,649.4282673446608,15.135135135135137,20.0,162.50359618853986,True,True,True,True,ROBUST,ROBUST,True,True,True,True,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,5,1383669795,4.291723147097387,0.5115441489006856,3.0395214676919404,2.33425046743197,138.24628409182012,196.27335322545272,240.073455949548,0.4643491208553314,0.4786743819713592,0.3257933855056762,0.4464745819568634,0.3662959933280945,0.3370823562145233,0.0973355770111084,0.0602020882070064,0.0559124372414867,0.0826093126222061,0.8776033535164829,19.027027027027028,20.0,1102.6480847522844,10.81081081081081,20.0,145.193395414821,True,True,True,True,ROBUST,ROBUST,False,False,False,False,False,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,6,1385074476,2.327666981860357,-0.0609260632272177,0.5952418297648656,1.9266058349287545,118.6880124386668,148.5460441665331,190.13882174392143,0.4204085767269134,0.4495974779129028,0.2313866913318634,0.3275693356990814,0.3255406022071838,0.2902992963790893,0.0804306417703628,0.061429888010025,0.1061758752490611,0.9352777215034752,0.835856391901419,15.135135135135137,20.0,1226.45,16.0,20.0,330.39578589900503,True,True,True,True,ROBUST,ROBUST,False,True,False,True,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,7,1371599468,5.231871407079408,0.4120954191437881,0.9813287457923376,1.6968258546373711,53.12902930855202,46.659460101707886,70.70925662352737,0.358563095331192,0.3786794543266296,0.1804800182580948,0.2137864083051681,0.2816269695758819,0.3332773149013519,0.0523852631449699,0.0637056827545166,0.424836700296006,0.6719635882832196,0.4598716105567991,16.0,20.9219999008004,1226.45,16.0,20.0,447.8246645644373,False,True,False,False,AMBIGUOUS,AMBIGUOUS,True,True,False,True,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,8,1378199692,5.056483586765725,-0.2269874163009808,0.9058094531307292,0.8439455616422002,86.4279302884519,116.64196913167336,145.17278015130708,0.3936521410942077,0.4312214851379394,0.25453981757164,0.3189947307109833,0.2800945341587066,0.3306203484535217,0.0607774034142494,0.06240039691329,0.752992881868875,0.2531632401780685,0.6783637434759957,16.0,20.0,580.2498986221522,15.135135135135137,20.0,295.20138083447426,True,True,True,True,ROBUST,ROBUST,True,False,True,False,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,9,1379223009,0.8780907516558714,-0.6437306223612077,0.0231292525635052,1.1971731821088805,70.58994649194949,34.684668420709215,78.65091715416187,0.3679536283016205,0.4225295186042785,0.2178767770528793,0.237492173910141,0.3058562278747558,0.3108730316162109,0.0594750307500362,0.0694426000118255,0.3470902242674471,0.4079017376471629,0.3768658127385307,16.0,20.0,1226.45,16.0,20.0,851.0005945013751,False,True,True,True,ROBUST,ROBUST,False,True,False,True,True,False,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,10,1376569710,4.177381133604818,0.4228167301768576,2.452732588302892,0.9595986101977156,83.21360130384282,104.02104094728423,133.20991104910885,0.4024302363395691,0.4124561846256256,0.2285754829645156,0.277281254529953,0.3146215081214905,0.3054313957691192,0.0675785019993782,0.0703436806797981,0.8903240737525193,0.1827116277203855,0.7278430284948039,15.567567567567568,20.0,330.39578589900503,15.135135135135137,20.0,369.786127121913,True,True,True,True,ROBUST,ROBUST,True,False,True,False,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,11,1372714332,3.573506325998968,-0.8043875382992574,0.359806837635713,1.6530575199311526,70.75699107340826,34.278940169019926,78.62313606613274,0.353899747133255,0.3859647214412689,0.2068505734205246,0.2019968628883361,0.30384561419487,0.2868576645851135,0.0697499960660934,0.0566111579537391,0.4156250702577932,0.4156250702577932,0.4496849514879386,16.0,20.0,1226.45,16.0,20.0,1226.45,False,True,True,False,ROBUST,AMBIGUOUS,True,True,False,True,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,12,1387956065,2.959984760706576,0.1308452490521121,2.403314790462772,1.227273769496006,28.707287340869478,65.99926620507537,71.97229665697523,0.3161381185054779,0.4380605816841125,0.0841284617781639,0.2174661308526992,0.3576370775699615,0.3720587193965912,0.0760969594120979,0.1360996216535568,0.0542010372267478,0.669058223050904,0.3753821785396986,16.43243243243243,20.0,1226.45,16.0,20.0,210.55717265114495,False,True,False,False,BACKGROUND,AMBIGUOUS,False,True,False,True,True,False,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,13,1382162198,3.4782419565716007,0.1186928156717607,0.9548873951313996,1.2979883374264298,78.45131152302545,76.94682915824238,109.8882286561692,0.3728973865509033,0.3900707960128784,0.1898554116487503,0.1868792623281479,0.3952197432518005,0.3912345170974731,0.1321119964122772,0.1084547191858291,0.6180112503222883,0.2535013433289425,0.6485235367132896,16.0,20.0,1226.45,15.135135135135137,20.0,235.6601528695265,False,True,False,False,AMBIGUOUS,AMBIGUOUS,True,False,False,False,False,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,14,1377217221,2.743976283414608,-0.6075171755559349,1.2834305859063189,2.788663635404666,139.6081345764114,149.65377834545032,204.6623673589617,0.3933091461658478,0.4472140669822693,0.3995277881622314,0.3063912391662597,0.2753190696239471,0.2769067883491516,0.0630124732851982,0.0626139491796493,0.0794042761508265,0.3128714564949417,0.8074083581918525,11.243243243243244,20.0,518.440544985289,15.135135135135137,20.0,319.41820511675496,True,True,True,True,ROBUST,ROBUST,False,False,False,False,False,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,15,1380146202,1.4698851403582556,-1.083056962073008,0.8839935680148079,0.785823234667112,184.69903269702323,181.7820115078848,259.14944025999523,0.4230989813804626,0.4474680125713348,0.3398407995700836,0.3754650056362152,0.2988426387310028,0.3145508766174316,0.0664314925670623,0.0793812274932861,0.9523230155671336,0.9590394419883173,0.898228864814716,15.567567567567568,20.0,369.786127121913,16.0,20.0,254.99251675022515,True,True,True,True,ROBUST,ROBUST,True,True,True,True,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,16,1373629576,2.5534039568310773,0.6790329383229736,0.5245608985304795,1.2359467757018925,17.17551376028752,36.05091383588319,39.93327761819834,0.3332977294921875,0.3912238180637359,0.097342200577259,0.2026267796754837,0.3586002588272095,0.2923926711082458,0.0723098590970039,0.060504350811243,0.1476953386850022,0.1397601266496323,0.1575504289109149,15.567567567567568,20.0,1226.45,16.0,20.0,1226.45,False,True,False,False,BACKGROUND,AMBIGUOUS,False,False,False,False,False,False,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
BBH_30_30,100.0,17,1370862634,0.5657873957684653,0.4608601712086389,1.45103011341816,2.8390293846120733,133.59438653014294,210.8274986089942,249.59105409066785,0.387870728969574,0.466632068157196,0.2257625609636306,0.4447596371173858,0.2842186987400055,0.3405109047889709,0.0573005266487598,0.0693114474415779,0.8620622721483459,0.1000232279660218,0.8601186718927026,16.0,20.0,996.3511448497154,11.243243243243244,20.0,168.08842612618787,True,True,True,True,ROBUST,ROBUST,True,False,True,False,True,True,0.3783,0.2040884156525078,0.13023118793964325,0.21959366053342733,0.15031939417123752,0.4048017891577,idxq4-64_queryq4-64,4,64,42
